#separator:tab
#html:true
"<p>{{c1::Control Strategy}} consists of:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"<p>External drivers of sustainable development are:</p>
<ul>
<li>{{c1::Brand Reputation}}</li>
<li>{{c1::Market Demand}}</li>
<li>{{c1::Regulations}}</li>
<li>{{c1::Stakeholder Expectations}}<br />
{{c1::<img src=""2025-Bild-Puechel-Internal_and_External_Drivers_fo_Sustainable_Development.png"" alt=""""><br />
Internal and External Drivers of Sustainable Development}}</li>
</ul>"	
"{{c1::The Sustainable Development Goal Compass (SDG Compass)}} is {{c2::a framework for companies to place sustainability at the center of their business strategy}}. {{c1::The SDG Compass}} helps companies {{c2::align their strategies with the SDGs and measure and manage their contributions}}.<br />
{{c1::{{c2::<img src=""2015-BIld-Sustainable_Development_Goal_Compass.png"" alt=""""><br />
Sustainable Development Goal Compass}}}}"	
"<p>{{c6::The SDG Compass}} consists of several steps:</p>
<ol>
<li>{{c1::Understanding the SDGs}}: {{c1::Companies learn about the SDGs}}.</li>
<li>{{c2::Defining Priorities}}: {{c2::Companies define their priorities based on an assessment of their positive and negative, current and potential impacts on the SDGs along their value chains}}.</li>
<li>{{c3::Setting Goals}}: {{c3::Companies set goals aligned with the SDGs to commit leadership and improve performance across the organization}}.</li>
<li>{{c4::Integrating}}: {{c4::Sustainability is integrated into core business and corporate governance and embedded into all business functions. Companies increasingly engage in partnerships to pursue common goals or address systemic challenges}}.</li>
<li>{{c5::Reporting and Communicating}}: {{c5::Companies use the SDGs to report on sustainability performance with common indicators and priorities and to communicate with stakeholders}}.</li>
</ol>"	
{{c1::Green IS}} is {{c2::the reduction of environmental impact through the use of IT to achieve sustainability goals}}.	
{{c1::Green IT}} is {{c2::the reduction of environmental impact through IT to ensure sustainable use of resources and energy, reduce emissions, and promote recycling}}.	
"<p>Green IT arises through:</p>
<ul>
<li>{{c1::Lifecycle management of devices}}</li>
<li>{{c1::Environmentally friendly data center management}}</li>
<li>{{c2::Environmentally friendly software development}}</li>
<li>{{c2::Virtualization and optimization of cloud computing}}</li>
</ul>"	
{{c1::Sustainable Development Goals (SDG)}} are {{c2::17 targets established by the United Nations to achieve global sustainability by 2030}}.	
"<p>The Sustainable Development Goals consist of:</p>
<ol>
<li>{{c1::No Poverty}}</li>
<li>{{c2::Zero Hunger}}</li>
<li>{{c3::Good Health and Well-being}}</li>
<li>{{c4::Quality Education}}</li>
<li>{{c5::Gender Equality}}</li>
<li>{{c6::Clean Water and Sanitation}}</li>
<li>{{c7::Affordable and Clean Energy}}</li>
<li>{{c8::Decent Work and Economic Growth}}</li>
<li>{{c9::Industry, Innovation and Infrastructure}}</li>
<li>{{c10::Reduced Inequality}}</li>
<li>{{c11::Sustainable Cities and Communities}}</li>
<li>{{c12::Responsible Consumption and Production}}</li>
<li>{{c13::Climate Action}}</li>
<li>{{c14::Life Below Water}}</li>
<li>{{c15::Life on Land}}</li>
<li>{{c16::Peace, Justice and Strong Institutions}}</li>
<li>{{c17::Partnerships for the Goals}}</li>
</ol>"	
"<p>{{c1::Sustainability}} consists of:</p>
<ul>
<li>{{c2::Environmental sustainability}}</li>
<li>{{c2::Economic sustainability}}</li>
<li>{{c2::Social sustainability}}<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Conceptions_of_Sustainabilities.png"" alt=""""><br />
Conceptions of Sustainability}}}}</li>
</ul>"	
{{c1::Sustainable Development}} is {{c2::the practice of achieving sustainability through actions}}.	
{{c1::Economic Sustainability}} is {{c2::sustainability through long-term growth}}.	
{{c1::Social Sustainability}} is {{c2::sustainability through the development of social structures without impairing future generations}}.	
{{c1::A Balanced Scorecard (BSC)}} is {{c2::a concept for measuring, documenting, and managing activities within an organization}}.	
Components of the Balanced Scorecard are {{c1::linked through cause-and-effect chains}} and enable tracking of {{c2::leading (driver) and lagging (result) indicators}}.	
"<p>{{c1::A Balanced Scorecard}} consists of:</p>
<ul>
<li>{{c2::Customer}}</li>
<li>{{c2::Financial}}</li>
<li>{{c2::Internal Process}}</li>
<li>{{c2::Learning and Growth}}</li>
</ul>"	
"{{c1::An indirect network effect}} is {{c2::a network externality that increases value for certain user groups or products as the number and quality of users increases}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Direkter_Netzwerkeffekt_und_indirekter_Netzwerkeffekt.png"" alt=""""><br />
Direct and Indirect Network Effects}}}}"	
"{{c1::A direct network effect}} is {{c2::a network externality that increases value for all users as the number of users increases}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Direkter_Netzwerkeffekt_und_indirekter_Netzwerkeffekt.png"" alt=""""><br />
Direct and Indirect Network Effects}}}}"	
{{c1::Environmental Sustainability}} is {{c2::the reduction of consumption of natural resources and the improvement of Earth’s health}}.	
{{c1::Circular Economy Theory}} is {{c2::a model in which goods are reused. The circular economy focuses on reduction, reuse, and recycling}}.	
"<p>{{c1::Factors of the Circular Economy}} are:</p>
<ul>
<li>{{c2::Extended producer responsibility}}</li>
<li>{{c2::Eliminating the need for products/materials}}</li>
<li>{{c2::Intensifying product use}}</li>
<li>{{c2::Recycling}}</li>
<li>{{c2::Right to repair & product repair}}</li>
<li>{{c2::Reusing parts from old products}}</li>
</ul>"	
{{c1::Digitization}} is {{c2::the use of digital technologies to change business models}}.	
{{c1::Digital transformation}} is {{c2::the use of new digital technologies to enable significant organizational improvements}}.	
{{c1::Economies of Scale}} is {{c2::the effect of lowering unit costs per product as production volume increases}}.	
{{c1::Economies of Scale}} occur because {{c2::the proportion of fixed costs compared to variable costs decreases as production increases}}.	
{{c1::The Resource-Based View}} is {{c2::a strategic perspective that assumes competitive advantage is created through unique resources}}.	
{{c1::Digital Innovation}} is {{c2::a good, process, or business model}} that {{c3::is perceived as new}}, {{c3::entails fundamental changes}}, and {{c3::is embodied in or through IT}}. {{c1::Digital Innovation}} creates a new form of value through {{c4::digitization}}.	
"<p>{{c1::Digital Innovation}} is driven by {{c2::generativity}}, which requires the following characteristics:</p>
<ul>
<li>{{c3::Data homogeneity}}</li>
<li>{{c3::Programmability and modifiability}}</li>
<li>{{c3::Self-referential and layered structure}}</li>
</ul>"	
{{c1::A Lock-In Effect (Vendor Lock-In)}} is {{c2::the difficult system change caused by product policy or marketing measures}} through {{c3::increasing the cost of switching systems}}.	
"Question:<br>
What are typical tensions in the context of digital sustainability?"	Conflicts between ecological, social, and economic interests (e.g., efficiency vs. data protection, economic growth vs. resource consumption).
"True or false:<br />
Sharing Value means that the company maximizes sustainable profits."	"False:<br>
Sharing Value focuses on fair distribution of created value and active involvement of stakeholders in value creation."
"Question:<br />
What does Maintaining Value mean in the context of sustainable business models?"	The preservation and restoration of the integrity of natural resources and the functionality of man-made artifacts across life cycles.
"True or false:<br />
Unlocking Value means optimizing sustainable value within the organization itself."	"False:<br />
Unlocking Value aims to unleash untapped sustainability potential at the interfaces with markets and consumers."
"Question:<br />
What role does reflexivity play in the Digital Social Innovation Framework?"	Reflexivity helps actors understand their position within power structures and align actions accordingly in a socially responsible manner.
"True or false:<br />
The Digital Social Innovation Framework ignores systemic causes of societal problems."	"False:<br />
A core goal of the Digital Social Innovation Framework is systemic change, particularly by eliminating exploitative institutions and building transformative structures."
"True or false:<br />
Digital Social Innovation is primarily based on technological excellence."	"False:<br>
Digital Social Innovation prioritizes social innovations, with digital technologies serving as enablers of social impact, not the other way around."
"True or false:<br />
Digital Social Innovation initiatives should always use the most advanced technological solution."	"False:<br />
The principle of 'technoficing' describes the deliberate use of appropriate, not necessarily advanced, technologies to achieve social impact efficiently."
"Question:<br />
Why is reflexivity a key element in Sensemaking Support Systems?"	Because it enables users to question their assumptions and integrate alternative perspectives into collective discourse.
"Question:<br />
What is the goal of Sensemaking Support Systems in transformation contexts?"	The goal is to strengthen the collective ability to construct meaning in the face of uncertainty, ambiguity, and complexity to enable sustainable action.
"Question:<br />
What are the three core functions that Sensemaking Support Systems should enable?"	"<ul>
<li>Exploration of alternative futures</li>
<li>Collective learning</li>
<li>Reframing existing narratives</li>
</ul>"
"Question:<br />
Which challenges in the sustainability context do Sensemaking Support Systems address?"	"<ul>
<li>Ambiguity and uncertainty about systemic change</li>
<li>Cognitive overload in complex decision-making situations</li>
<li>Conflicting values and interests</li>
</ul>"
"True or false:<br />
Sensemaking Support Systems aim to minimize the number of perspectives to simplify decision-making."	"False:<br />
Sensemaking Support Systems aim to reveal multiple perspectives to enable deeper collective sensemaking processes."
"True or false:<br />
Sensemaking Support Systems aim to automate decisions."	"False:<br>
Sensemaking Support Systems are not intended to automate decisions, but to support individual and collective sensemaking in complex environments."
"Question:<br />
What is the main goal of Impact Measurement and Valuation in the corporate context?"	The monetization of social and environmental impacts to integrate them into financial decision-making and control processes.
"Question:<br />
How does Impact Measurement and Valuation differ from classic CSR reporting?"	Impact Measurement and Valuation not only assesses qualitative sustainability goals but also monetizes them and integrates them into core business value creation and strategic management.
"Question:<br />
What is meant by Impact Measurement and Valuation?"	Impact Measurement and Valuation is a set of methods for identifying, measuring, monetizing, and managing the social and environmental impacts of corporate activities.
"True or false:<br />
The greatest advantage of Impact Measurement and Valuation lies in its use as a marketing tool."	"False:<br>
IMV is primarily intended to help understand social and environmental impacts systematically and integrate them into internal management processes, not merely to facilitate communication."
"True or false:<br />
Impact Measurement and Valuation is purely a technical tool for ESG integration."	"False:<br>
Impact Measurement and Valuation is a deeply political and normative construct that goes beyond technical issues."
"True or false:<br />
Impact Measurement and Valuation is a synonym for sustainability reporting according to GRI."	"False:<br>
Impact Measurement and Valuation goes beyond reporting and additionally involves monetizing and integrating social and environmental impacts into corporate decision-making processes."
"True or false:<br />
Impact Measurement and Valuation is only relevant for companies that are already highly digitized."	"False:<br>
Impact Measurement and Valuation is increasingly important even in traditional industries, especially where social and environmental impacts are significant."
"Question:<br />
What is Technological Turbulence?"	Technological turbulence describes the pace of technological change within an industry.
"Question:<br />
How does Digital Orientation contribute to Pollution Prevention?"	Through digital products, remote maintenance, IoT-based emission reduction, and virtualized processes such as home office and video conferencing.
"Question:<br />
How does Digital Orientation support the goal of sustainable development?"	By promoting green innovation, cloud computing, big data for ecological decision-making, and infrastructure for digital business models.
"True or false:<br />
Technological turbulence weakens the link between digital orientation and environmental performance."	"False:<br>
Technological turbulence strengthens the positive relationship, as digitally oriented companies are better able to respond to change."
"Question:<br />
What is meant by Digital Orientation?"	Digital orientation is a company's strategic alignment with digital technologies to gain competitive advantage.
"True or false:<br />
Digital Orientation has no proven impact on a company's environmental performance."	"False:<br>
Digital Orientation has a significant and positive impact on environmental performance, especially in technologically turbulent industries."
"Question:<br />
How is Corporate Carbon Performance measured?"	By carbon intensity (CO2 emissions relative to revenue) and the average carbon intensity (annual change in that intensity).
"Question:<br />
How does Corporate Social Responsibility reduce risk?"	Corporate Social Responsibility reduces both direct risks (e.g., through environmental programs) and indirect risks through trustful stakeholder relationships and improved early warning systems.
"True or false:<br />
Corporate Social Responsibility measures such as donations have no effect on innovation capability."	"False:<br>
Corporate Social Responsibility can promote innovation capability, as broader stakeholder relationships initiate new knowledge sources and learning processes."
"Example:<br />
Sustainability Data Management"	"<ul>
<li>Tesla: Uses real-time data to track the environmental impact of products</li>
<li>Unilever: Uses a sustainability platform called “EcoVadis” to monitor sustainability data from providers</li>
</ul>"
"Example:<br />
Digital Agriculture"	"<ul>
<li>Drones for precise seed placement</li>
<li>GPS signals for vehicle navigation</li>
</ul>"
"True or false:<br />
Hybrid Decision-Making means making decisions while excluding non-financial goals."	"False:<br />
Hybrid Decision-Making combines financial and non-financial goals and considers multiple stakeholder interests."
"True or false:<br />
Hybrid Decision-Making strategies automatically lead to a balanced reconciliation of shareholder and stakeholder interests."	"False:<br />
Although both are considered, actual balance depends on internal power dynamics, institutional embedding, and political feasibility."
"True or false:<br />
Decision-Making strategies refer to operational process control."	"False:<br />
Decision-Making strategies relate to strategic goals and stakeholder interests in the decision-making process."
"Question:<br />
How can a Stewardship Control strategy be more effective than Preemptive or Laissez-Faire in volatile markets?"	Stewardship approaches combine flexibility and resilience through adaptive governance, balancing security concerns with innovation promotion, and building stakeholder trust in uncertain, dynamic contexts.
"True or false:<br />
Stewardship Control is a hybrid approach between Preemptive Control and Laissez-Faire Control."	True
"Example:<br />
Preemptive Control"	"<ul>
<li>General Data Protection Regulation (GDPR) of the EU</li>
</ul>"
"Question:<br />
Why is a purely Preemptive Digital Governance Strategy not sustainable in the long term in tech-driven markets?"	It reduces agility, innovation capacity, and adaptability to emerging technologies, creates stakeholder resistance, and is costly with low benefits in early innovation phases.
"Question:<br />
What characterizes a Preemptive Control Strategy?"	A governance approach with preventive regulations to avoid risks.
"True or false:<br />
A Preemptive Control Strategy in Digital Governance maximizes innovation capability while minimizing compliance risks."	"False:<br />
Preemptive Control prioritizes risk minimization through proactive regulation but may restrict innovation and increase administrative burden."
"Example:<br />
Laissez-Faire Control"	"<ul>
<li>Open Source Development</li>
</ul>"
"True or false:<br />
Laissez-Faire Control means that digital governance is based on preventive rules and safety measures."	"False:<br>
Laissez-Faire Control is a market-based approach with minimal regulation and control, as seen in open-source development."
"True or false:<br />
Laissez-Faire Control approaches can offer higher innovation potential than regulated models under certain conditions."	"True:<br>
Low regulation and open market structures enable experimental technologies and rapid development cycles, but pose high risks in ethics, security, and governance."
"True or false:<br />
Digital Governance Strategies follow either a control-based strategy or a decision-making strategy."	True
"True or false:<br />
Digital Responsibility is limited to legal obligations and has no normative dimension."	"False:<br />
Digital Responsibility goes beyond legal requirements and is based on normative principles for a just and sustainable digital society."
"True or false:<br />
Corporate Governance only includes the management structure and internal decision-making processes."	"False:<br>
Corporate Governance also includes rules, practices, and relationships with internal and external stakeholders of a company."
"Question:<br />
How do Science-Based Targets differ from conventional emissions targets?"	SBTs are based on climate science and aligned with the Paris Agreement. They are more ambitious, long-term, exclude offsets, and aim for absolute reductions.
"True or false:<br />
Science-Based Targets have been extensively empirically studied regarding their financial impact."	"False:<br>
Only initial empirical studies have been conducted that systematically analyze the financial performance effects of Science-Based Targets."
