#separator:tab
#html:true
"<p>{{c1::Control Strategy}} besteht aus:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"Frage:<br />
Was unterscheidet Impact Measurement and Valuation von klassischem CSR-Reporting?"	Impact Measurement and Valuation bewertet nicht nur qualitative Nachhaltigkeitsziele, sondern monetarisiert sie und integriert sie in Kernelemente der unternehmerischen Wertschöpfung und strategischen Steuerung.
"Frage:<br />
Was versteht man unter Impact Measurement and Valuation?"	Impact Measurement and Valuation ist ein Set von Methoden zur Identifikation, Messung, Monetarisierung und Steuerung sozialer und ökologischer Auswirkungen unternehmerischer Tätigkeiten.
"wahr oder falsch:<br />
Der größte Vorteil von Impact Measurement and Valuation liegt in seiner Verwendung als Marketinginstrument."	"falsch:<br />
IMV soll primär dazu dienen, soziale und ökologische Auswirkungen systematisch zu verstehen und in interne Managementprozesse zu integrieren, nicht bloß Kommunikation zu erleichtern."
"wahr oder falsch:<br />
Impact Measurement and Valuation ist ein rein technisches Instrument zur ESG-Integration."	"falsch:<br />
Bei Impact Measurement and Valuation handelt es sich um ein zutiefst politisches und normatives Konstrukt, das über technische Fragen hinausgeht."
"wahr oder falsch:<br />
Impact Measurement and Valuation ist ein Synonym für Nachhaltigkeitsberichterstattung nach GRI."	"falsch:<br>
Impact Measurement and Valuation geht über Berichterstattung hinaus und beinhaltet zusätzlich die Monetarisierung und Integration sozialer und ökologischer Auswirkungen in unternehmerische Entscheidungsprozesse."
"wahr oder falsch:<br />
Impact Measurement and Valuation ist vor allem in Unternehmen relevant, die schon stark digitalisiert sind."	"falsch:<br>
Impact Measurement and Valuation gewinnt zunehmend auch bei traditionellen Industrien an Bedeutung, besonders dort, wo soziale und ökologische Auswirkungen erheblich sind."
"Frage:<br />
Was ist Technological Turbulence?"	Technological Turbulence beschreibt die Geschwindigkeit des technologischen Wandels innerhalb einer Industrie.
"Frage:<br />
Wie trägt Digital Orientation zur Pollution Prevention bei?"	Durch digitale Produkte, Fernwartung, IoT-gestützte Emissionsreduktion und virtualisierte Prozesse wie Homeoffice und Videokonferenzen.
"Frage:<br />
Wie unterstützt Digital Orientation das Ziel der Sustainable Development?"	Durch Förderung grüner Innovation, Cloud-Computing, Big Data für ökologische Entscheidungen und Infrastruktur für digitale Geschäftsmodelle.
"wahr oder falsch:<br />
Technological Turbulence schwächt den Zusammenhang zwischen digitaler Orientierung und Umweltperformance."	"falsch:<br />
Technologische Turbulenz verstärkt den positiven Zusammenhang, da digital orientierte Firmen besser auf Veränderungen reagieren können."
"Frage:<br />
Was versteht man unter Digital Orientation?"	Digital Orientation ist die strategische Ausrichtung eines Unternehmens auf digitale Technologien zur Erreichung von Wettbewerbsvorteilen.
"wahr oder falsch:<br />
Digital Orientation hat keinen nachweisbaren Einfluss auf die Umweltperformance eines Unternehmens."	"falsch:<br />
Digital Orientation hat einen signifikanten und positiven Einfluss auf die Umweltperformance, insbesondere in technologisch turbulenten Branchen."
"Frage:<br />
Wie werden Corporate Carbon Performance gemessen?"	Durch Carbon Intensity (CO2-Emissionen relativ zu Umsatz) und der durchschnittlichen Carbon Intensity (jährliche Veränderung dieser Intensität).
"Frage:<br />
Wie wirkt Corporate Social Responsibility risikomindernd?"	Corporate Social Responsibility reduziert sowohl direkte Risiken (z. B. durch Umweltprogramme) als auch indirekte Risiken durch vertrauensvolle Stakeholderbeziehungen und verbesserte Frühwarnsysteme.
"wahr oder falsch:<br />
Corporate Social Responsibility-Maßnahmen wie Spenden haben keinen Effekt auf die Innovationsfähigkeit."	"falsch:<br />
Corporate Social Responsibility kann Innovationsfähigkeit fördern, da breitere Stakeholder-Beziehungen neue Wissensquellen und Lernprozesse initiieren."
"<p>Treibhausgas-Emissionen bestehen aus:</p>
<ol>
<li>{{c1::direkte Emissionen}}</li>
<li>{{c1::indirekte Emissionen durch Energie}}</li>
<li>{{c1::indirekte Emissionen durch die Value Chain}}</li>
</ol>"	
"Beispiel:<br />
Sustainability Data Management"	"<ul>
<li>Tesla: Nutzt Echtzeitdaten, um die Umwelteinflüsse der Produkte nachvollziehen zu können</li>
<li>Unilever: Benutzt eine Nachhaltigkeitsplattform namens ""EcoVadis"", um Nachhaltigkeitsdaten von Providern zu monitoren</li>
</ul>"
"<p>Ein digitales Produkt besitzt folgende Eigenschaften:</p>
<ul>
<li>{{c1::Economies of Scale}}</li>
<li>{{c1::Immaterialität}}</li>
<li>{{c1::kritische Masse}}</li>
<li>{{c1::Lock-in-Effekt}}</li>
<li>{{c1::Netzwerkeffekte}}</li>
<li>{{c1::Wechselkosten}}</li>
</ul>"	
"{{c1::\(\text{Earth Overshood Day}\)}} \(=\) {{c2::\(\frac{\text{Earth&#039;s Biocapacity} }{\text{Humanity&#039;s Ecological Footprint} } \cdot 365\)}}"	
"Beispiel:<br />
Digital Agriculture"	"<ul>
<li>Drohnen zur präzisen Platzierung von Samen</li>
<li>GPS-Signale zur Steuerung von Fahrzeugen</li>
</ul>"
"<p>Digital Agriculture besteht aus:</p>
<ul>
<li>{{c1::Digital Farming}}</li>
<li>{{c1::Precision Farming}}</li>
<li>{{c1::Smart Farming}}</li>
</ul>"	
"wahr oder falsch:<br />
Hybrid Decision-Making bedeutet eine Entscheidung unter Ausschluss nicht-finanzieller Ziele."	"falsch:<br />
Hybrid Decision-Making kombiniert finanzielle und nicht-finanzielle Ziele und berücksichtigt mehrere Stakeholder-Interessen."
"wahr oder falsch:<br />
Hybrid Decision-Making-Strategien führen automatisch zu einem ausgewogenen Interessenausgleich zwischen Shareholdern und Stakeholdern."	"falsch:<br />
Obwohl sie beides berücksichtigen, hängt die tatsächliche Balance von internen Machtverhältnissen, institutioneller Einbettung und politischer Durchsetzbarkeit ab."
{{c1::Hybrid Decision-Making}} ist {{c2::eine Decision-Making-Strategie, in welcher der Fokus auf finanzielle Aspekte und nicht-finanzielle Aspekte liegt}}.	
{{c1::Social Responsibility Decision-Making}} ist {{c2::eine Decision-Making-Strategie, in welcher der Fokus auf den Beitrag einer Organisation zur Gesellschaft liegt}}.	
{{c1::Profit Oriented Decision-Making}} ist {{c2::eine Decision-Making-Strategie, in welcher der Fokus auf der Maximierung des Gewinnes liegt, um den Shareholder-Wert zu erhöhen}}.	
"wahr oder falsch:<br />
Decision-Making-Strategien beziehen sich auf operative Prozesskontrolle."	"falsch:<br />
Decision-Making-Strategien betreffen strategische Zielsetzungen und Stakeholder-Interessen im Entscheidungsprozess."
{{c1::Eine Decision-Making Strategy (Decision-Making-Strategie)}} ist {{c2::eine Digital Governance Strategy, in welcher Ziele bei der Entscheidungsfindung berücksichtigt werden}}.	
"<p>{{c1::Decision-Making Strategy}} besteht aus:</p>
<ul>
<li>{{c2::Hybrid Decision-Making}}</li>
<li>{{c2::Profit Oriented Decision-Making}}</li>
<li>{{c2::Social Responsibility Decision-Making}}</li>
</ul>"	
"Frage:<br />
Inwiefern kann eine Stewardship-Control-Strategie in volatilen Märkten effektiver sein als Preemptive oder Laissez-Faire?"	Stewardship-Ansätze kombinieren Flexibilität und Resilienz durch adaptive Governance, balancieren Sicherheitsbedenken mit Innovationsförderung und schaffen Vertrauen bei Stakeholdern in unsicheren, dynamischen Kontexten.
"wahr oder falsch:<br />
Stewardship Control ist ein Hybrid-Ansatz zwischen Preemptive Control und Laissez-Faire Control."	wahr
{{c1::Stewardship Control}} ist {{c2::eine Control Strategy der Digital Governance Strategy, in welcher einerseits die Innovation, aber auch die Sicherheit berücksichtigt wird}}. {{c1::Stewardship Control}} ist ein Hybrid-Ansatz zwischen {{c3::Preemptive Control}} und {{c3::Laissez-Faire Control}}.	
"Beispiel:<br />
Preemptive Control"	"<ul>
<li>General Data Protection Regulation der EU</li>
</ul>"
"Frage:<br />
Warum ist eine ausschließlich Preemptive Digital Governance  Strategy langfristig nicht nachhaltig in technologiegetriebenen Märkten?"	Sie reduziert Agilität, Innovationskapazität und Anpassungsfähigkeit an emergente Technologien, erzeugt Reaktanz bei Stakeholdern und ist kostenintensiv bei geringem Nutzen in frühen Innovationsphasen.
"Frage:<br />
Was kennzeichnet eine Preemptive Control Strategy?"	Ein Governance-Ansatz mit präventiven Regulierungen zur Risikovermeidung,.
"wahr oder falsch:<br />
Eine Preemptive Control Strategy in der Digital Governance maximiert Innovationsfähigkeit bei gleichzeitiger Minimierung von Compliance-Risiken."	"falsch:<br />
Preemptive Control priorisiert Risikominimierung durch proaktive Regulierung, kann aber Innovationsfähigkeit einschränken und administrative Lasten erhöhen."
{{c1::Preemptive Control}} ist {{c2::eine Control Strategy der Digital Governance Strategy, in welcher präventive Maßnahmen genutzt werden, um Risiken zu vermeiden oder Risiken zu mindern}}.	
"Beispiel:<br />
Laissez-Faire Control"	"<ul>
<li>Open Source Development</li>
</ul>"
"wahr oder falsch:<br />
Laissez-Faire Control bedeutet, dass digitale Governance auf präventiven Regeln und Sicherheitsvorkehrungen basiert."	"falsch:<br />
Laissez-Faire Control ist ein marktbasierter Ansatz mit minimaler Regulierung und Kontrolle, wie etwa in Open-Source-Entwicklungen."
"wahr oder falsch:<br />
Laissez-Faire Control-Ansätze können unter bestimmten Voraussetzungen ein höheres Innovationspotenzial bieten als regulierte Modelle."	"wahr:<br />
Die geringe Regulierung und offene Marktstruktur ermöglichen experimentelle Technologien und schnelle Entwicklungszyklen, bergen aber hohe Risiken in Bezug auf Ethik, Sicherheit und Governance."
{{c1::Laissez-Faire Control}} ist {{c2::eine Control Strategy der Digital Governance Strategy, in welcher kaum Einflussnahme auf die Kontrolle geschieht}}.	
"wahr oder falsch:<br />
Digital Governance Strategien verfolgen entweder eine kontroll-basierte Strategie oder einen Decision-Making-Strategie."	wahr
{{c1::Digital Governance Strategy}} ist {{c2::ein Strategie Ansätze zur Durchsetzung von Regeln für die effizienten Erbringung von digitalen Dienstleistungen}}.	
"wahr oder falsch:<br />
Digital Responsibility ist auf gesetzliche Pflichten begrenzt und hat keine normative Dimension."	"falsch:<br />
Digital Responsibility geht über gesetzliche Anforderungen hinaus und basiert auf normativen Prinzipien für eine gerechte, nachhaltige digitale Gesellschaft."
{{c1::Digital Responsibility}} ist {{c2::die Bemühungen von Stakeholdern einen Beitrag zu einer nachhaltigen, integrativeren, faireren und wertebasierten digitalen Gesellschaft zu leisten, die über die gesetzlichen Mindestanforderungen hinausgeht}}.	
"wahr oder falsch:<br />
Corporate Governance umfasst ausschließlich die Managementstruktur und unternehmensinterne Entscheidungsprozesse."	"falsch:<br />
Corporate Governance umfasst auch Regeln, Praktiken und Beziehungen zu internen und externen Stakeholdern eines Unternehmens."
{{c1::Corporate Governance}} ist {{c2::die Menge an Praktiken, Regeln, Entscheidungsprozesse, Managementstrukturen und Beziehungen zu internen und externen Stakeholdern eines Unternehmens}}.	
"Frage:<br />
Was unterscheidet Science-Based Targets von herkömmlichen Emissionszielen?"	SBTs basieren auf Klimawissenschaft und sind an den Zielen des Pariser Klimaabkommens ausgerichtet. Sie sind ambitionierter, langfristiger, schließen Offsets aus und zielen auf absolute Reduktionen ab.
"wahr oder falsch:<br />
Science-Based Targets wurden bisher umfassend empirisch auf ihre finanzielle Wirkung untersucht."	"falsch:<br />
Zu Science-Based Targets gibt es erst erste empirischen Studien, die die Wirkung von Science-Based Targets auf die finanzielle Performance von Unternehmen systematisch analysieren."
{{c1::Ein Science-Based Target (SBT)}} ist {{c2::ein freiwillig einzuhaltendes Emissionsziel im Einklang mit dem 1,5-Grad-Ziel}}.	
"Frage:<br />
An wem ist ein Emission Report gerichtet?"	an externe Dritte wie Investoren oder Geschäftspartner
{{c1::Der Emissions Report}} ist {{c2::ein Report über die Ergebnisse der Berechnung von Treibhausgas-Emissionen}}.	
{{c1::Eine indirekte Emission durch die Value Chain}} ist {{c2::eine indirekte Emission durch Bestandteile der Wertschöpfungskette}}.	
{{c1::Eine indirekte Emission durch Energie}} ist {{c2::eine indirekte Emission durch die Erzeugung von Energie, welche durch ein Unternehmen konsumiert wird}}.	
{{c1::Eine direkte Emission}} ist {{c2::eine Emission, die direkt durch ein Unternehmen und seine Ressourcen erzeugt wird}}.	
{{c1::Das GHG Protocol}} ist {{c2::ein Standard für das GHG Accounting}}.	
{{c1::GHG Accounting}} ist {{c2::das Reporting von Treibhausgas-Emissionen}}. {{c1::Im GHG Accounting}} werden verschiedene Gase in {{c3::CO2-Äquivalente}} konvertiert, um eine verbesserte Vergleichbarkeit zu bieten.	
{{c1::Ein Sustainability Audit}} ist {{c2::die Auditierung des Sustainability Reports in Bezug auf die Daten und Evidenz}}.	
Das Sustainability Audit kann als {{c1::ein vollständiges Audit}} oder {{c1::ein limitiertes Audit mit Begrenzung auf wichtigste Themen und KPIs}} durchgeführt werden.	
"{{c1::Das verpflichtende Sustainability Reporting}} könnte die Digital Maturity erhöhen, indem {{c2::Datenmanagement und Datennutzung}} dadurch erzwungenermaßen gefördert werden.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Regulation-Driven_Twin_Transformation.png"" alt=""""><br />
Regulation-Driven Twin Transformation}}}}"	
"{{c1::Ein Digital Maturity Model}} ist {{c2::ein Modell über die Digital Maturity, um den derzeitigen Zustand und die Kapazitäten einer Organisation im Bezug zur digitalen Transformation zu verstehen}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Digital_Maturity_Model.png"" alt=""""><br />
Digital Maturity Model}}}}"	
{{c1::Digital Maturity}} ist {{c2::der Status einer digitalen Transformation und kombiniert technologische Aspekte mit Aspekten der Geschäftstransformation}}.	
{{c1::Die Global Reporting Initiative}} ist {{c2::ein Reporting Framework für Standards im Bezug zum Sustainability Reporting}}.	
{{c1::Die Corporate Sustainability Reporting Directive (CSRD)}} ist {{c2::ein Gesetz der EU über die verpflichtende Abgabe eines Sustainability Reports}}. {{c1::Die CSRD}} enthält Einflüsse von einem Unternehmen auf {{c3::die Umwelt}}, {{c3::den Klimawandel}}, {{c3::die Gesellschaft}} und {{c3::die Sustainability Governance}}.	
"Frage:<br />
Wie kann KI für Sustainable Reporting genutzt werden?"	KI kann eingesetzt werden, um bestimmte Berichtsanforderungen vorab zu definieren. Dies spart Zeit vor und während der Interaktion mit verschiedenen Stakeholdern.
{{c1::Ein Sustainability Report (Nachhaltigkeitsbericht, Sustainability Reporting)}} ist {{c2::ein nicht-finanzieller, transparenter Bericht über die ESG Performance für Shareholder}}.	
{{c1::Sustainability Governance}} ist {{c2::die Governance der ESG-Verantwortlichkeiten durch eine datenbasierte, transparente und nachvollziehbare Methode}}, welche {{c3::die Entwicklung und Implementierung von Leitfäden, Prozessen und System}} beinhaltet.	
"<p>Faktoren der Sustainability Governance sind:</p>
<ul>
<li>{{c1::Sustainability Data Management}}</li>
<li>{{c1::klar definierte Rollen und Verantwortungen}}</li>
<li>{{c1::nachhaltige Unternehmenskultur}}</li>
<li>{{c1::Nachhaltigkeit als Teil der Entscheidungsprozesse}}</li>
<li>{{c1::SMART Sustainability Goals}}</li>
</ul>"	
{{c1::Wechselkosten}} sind {{c2::Kosten, welche bei einem Wechsel einer Software oder eines Providers anfallen}}.	
{{c1::Die kritische Masse in der Economies of Scale}} ist {{c2::die Menge an Nutzern, bei welcher die Anzahl an Nutzern exponentiell steigt}}.	
{{c1::Die Immaterialität von Software}} ist {{c2::die Immaterialität, dass Software auf ein beliebiges Medium gespeichert und transportiert werden kann}}.	
{{c1::Digital Social Entrepreneurship}} ist {{c2::eine Form des Social Entrepreneurship, welches digitale Technologien als Bestandteil in das Business Model integriert}}.	
{{c1::Social Entrepreneurship (soziales Unternehmertum)}} ist {{c2::das unternehmerische Denken und Handeln zum Wohle der Gesellschaft}}. Der Erfolg von {{c1::sozialem Unternehmertum}} wird nicht allein anhand finanzieller Gewinne bewertet, sondern vielmehr anhand {{c3::des sozialen Nutzens}}.	
"<p>Probleme bei der Berechnung des ökologischen Fußabdruckes sind:</p>
<ul>
<li>{{c1::unklare Kalkulation}}</li>
<li>{{c1::zu hoher Fokus auf den individuellen Konsum anstatt auf die gesamte Gesellschaft}}</li>
</ul>"	
"<p>Auswirkungen des hohen Stromverbrauches von KI sind:</p>
<ul>
<li>ökologische Auswirkungen<ul>
<li>{{c1::signifikanter Energieverbrauch}}</li>
<li>{{c1::Treibhausgas-Emission}}</li>
<li>{{c1::verminderte Luftqualität}}</li></ul></li>
<li>soziale Auswirkungen<ul>
<li>{{c2::Druck auf den Wohnungsmarkt}}</li>
<li>{{c2::öffentliche Subventionierung}}</li>
<li>{{c2::steigende Strompreise}}</li></ul></li>
</ul>"	
"Beispiel:<br />
Strategien zur Reduktion von Emissionen bei der KI-Inferenz"	"<ul>
<li>Anpassung der Promptlänge und Ausgabelänge</li>
<li>Einsatz kleinerer Modelle bei einfachen Aufgaben</li>
<li>Nutzung emissionsarmer Cloud-Regionen</li>
</ul>"
"Frage:<br />
Welche KI-Aufgaben verursachen die höchsten Emissionen?"	Image Generation und Image Captioning, gefolgt von Text Generation und Summarization.
"wahr oder falsch:<br />
Textklassifikation durch KIs ist energieintensiver als Textgenerierung."	"falsch:<br />
Textklassifikation gehört zu den energieeffizientesten Aufgaben, während Textgenerierung ein Vielfaches an Energie benötigt."
{{c1::KI}} besitzt durch {{c2::das Training mit spezieller Hardware, einen hohen Wasser- und Kühlungsbedarf sowie robuster Infrastruktur}} einen hohen Energieverbrauch. Dieser übersteigt das bis zu {{c3::50}}-fache des normalen Verbrauches von traditionellen Cloud Services.	
Transparency through Data ist {{c2::die Schaffung von Transparenz durch Daten, insbesondere in Bezug zur Nachhaltigkeit und damit verbundenen Kennzahlen, dem Monitoring und Reporting}}.	
{{c1::Die Twin Transformation}} ist {{c2::die Ausrichtung von Digitalisierung an der Nachhaltigkeit}}.	
"<p>Folgen von digitaler Transformation sind:</p>
<ul>
<li>{{c1::Agilität in Planung und Prozesse}}</li>
<li>{{c1::Auswirkung durch Datenerhebung und Monitoring verstehen}}</li>
<li>{{c1::Momentum aufbauen}}</li>
<li>{{c1::Remote-Tätigkeit}}</li>
</ul>"	
"Frage:<br />
Was sind die drei Value Functions von Business Models for Sustainability?"	"<ol>
<li>Maintaining Value</li>
<li>Unlocking Value</li>
<li>Sharing Value</li>
</ol>"
"wahr oder falsch:<br />
Ein nachhaltiges Geschäftsmodell muss lediglich ökologische Vorteile bieten, um als nachhaltig zu gelten."	"falsch:<br />
Ein nachhaltiges Geschäftsmodell muss ökologische und/oder soziale sowie ökonomische Werte schaffen und zwischen diesen balancieren."
"wahr oder falsch:<br />
Sustainable Business Models unterscheiden sich von konventionellen Geschäftsmodellen hauptsächlich durch ihre Aktivitäten."	"falsch:<br />
Sustainable Business Models unterscheiden sich nicht nur durch einzelne Aktivitäten, sondern durch die systematische Organisation von Aktivitäten entlang spezifischer Design Themes und Value Functions."
{{c1::Ein Business Model for Sustainability}} ist {{c2::ein Businessmodell, welches zur ökologischen Wertschöpfung, ökonomischen Wertschöpfung oder sozialen Wertschöpfung beiträgt, den Wert erhält, ihn schafft oder mit anderen teilt}}.	
"Frage:<br />
Warum ist Corporate Sustainability Communication ein performatives Instrument?"	Weil Kommunikation nicht nur rückblickend dokumentiert, sondern Zukunft formt, Identifikation schafft und Veränderung initiiert, also die Organisation in die Umsetzung spricht.
"Frage:<br />
Was sind Gründe für negative Effekte bei zu viel Corporate Sustainability Talk (Overcommunication)"	"<ul>
<li>Kognitive Überforderung interner Akteure</li>
<li>Skepsis und Identitätsverlust bei Stakeholdern</li>
<li>Zielkonflikte zwischen ökonomischer und CS-Logik</li>
</ul>"
"Frage:<br />
Wie wirkt Stakeholder Monitoring auf Corporate Sustainability Communication?"	Intensives Monitoring verstärkt sowohl die positiven Effekte moderaten Corporate Sustainability Communication als auch die negativen Effekte von Überkommunikation.
"wahr oder falsch:<br />
Mehr Kommunikation über Nachhaltigkeit (Corporate Sustainability Talk) führt immer zu mehr Umsetzung (Corporate Sustainability Walk)."	"falsch:<br />
Corporate Sustainability Communication zeigt eine invers-U-förmige Beziehung: Bis zu einem gewissen Punkt fördert Corporate Sustainability Talk die Umsetzung, danach kann Überkommunikation diese hemmen."
{{c1::Corporate Sustainability Communication}} ist {{c2::die Kommunikation über organisatorischen Änderungen der Nachhaltigkeit in einem Unternehmen}}.	
Die Corporate Sustainability Communication kann dabei Treiber von nachhaltigen Änderungen sein, da {{c2::diese eine Motivation sowie einen Stakeholder-Druck erzeugt}}.	
{{c1::Eine Sustainability Balanced Scorecard (SBSC)}} ist {{c2::eine Balanced Scorecard, welche um die Nachhaltigkeits-Dimension erweitert wurde}}. Diese kann sowohl als Bestandteil einer bestehenden {{c2::Balanced Scorecard}}, sowie auch als eigener Faktor integriert werden.	
"<p>Arten der Spannung sind:</p>
<ul>
<li>{{c1::Design-Spannungen: Widersprüchliche Ziele beim Systemdesign (z. B. Transparenz vs. Datenschutz)}}</li>
<li>{{c2::Prozess-Spannungen: Spannungen bei der Entscheidungsfindung und im Betrieb (z. B. kurzfristige Gewinne vs. langfristige Ziele)}}</li>
<li>{{c3::Spannungen hinsichtlich der Auswirkungen: Kompromisse zwischen beabsichtigten und unbeabsichtigten Auswirkungen auf die Nachhaltigkeit}}</li>
<li>{{c4::Spannungen in der Unternehmensführung: Konflikte in Bezug auf Regeln, Eigentumsverhältnisse und Kontrolle (z. B. Zentralisierung vs. Dezentralisierung)}}</li>
</ul>"	
"Frage:<br />
Welche Bedeutung besitzen Spannungen für digitale Technologien im Bezug zu Nachhaltigkeit?"	Digitale Technologien sind nicht neutral: Sie können sowohl die Nachhaltigkeit fördern als auch beeinträchtigen. Daher ist ein effektives Spannungsmanagement entscheidend für eine echte Wirkung.
{{c1::Eine Spannung (Tension)}} ist {{c2::ein anhaltender Widerspruch zwischen konkurrierenden Elementen, der ein Kompromiss oder eine Integration erfordert}}.	
{{c1::Greenwashing}} ist {{c2::die irreführen oder falsche Behauptung eines Unternehmens über die Umweltvorteile eines Produktes oder einer Dienstleistung, bei welcher Verbraucher getäuscht werden}}.	
"<p>Digitale Einflussfaktoren der Kreislaufwirtschaft in der Textilindustrie sind:</p>
<ul>
<li>{{c1::Aufrechterhaltung des Materialkreislaufs}}</li>
<li>{{c1::Reduzierung der Rohstoffgewinnung}}</li>
<li>{{c1::Verlängerung der Produktlebensdauer}}</li>
<li>{{c1::Vermeidung von Abfall durch Design}}</li>
</ul>"	
Die Kleidungsindustrie ist ressourcenintensiv und verbraucht eine hohe Anzahl an Ressourcen, wie {{c1::Wasser}}, und erzeugt dabei hohe Mengen an {{c1::Emissionen}}.	
"wahr oder falsch:<br />
Digital Product Passports fördern ausschließlich ökologische Ziele und haben keine negativen Folgen."	"falsch:<br />
Sie können auch negative soziale und ökonomische Effekte verursachen, z. B. Arbeitsplatzverlust oder Datenschutzprobleme."
{{c1::Ein digitaler Produktpass (Digital Product Passport)}} ist {{c2::ein eingebetteter digitaler Träger in einem Produkt, welcher Informationen über die Herkunft, das Material und weitere Punkte zum Produkt enthält}}.	
{{c1::Die Cellulose Gap}} ist {{c2::ein Mangel an Zellulose, ausgelöst durch eine steigende Nachfrage an Baumwollprodukten}}.	
Es existiert eine Korrelation zwischen der Strategic Corporate Social Responsibility und der finanzieller Leistungsfähigkeit von einem Unternehmen, in welcher die Strategic CSR {{c1::die Reputation}}, {{c1::die Stakeholder-Beziehung}}, {{c1::die Risikominderung}} und {{c1::die Innovation}} fördert.	
"wahr oder falsch:<br />
Strategic Corporate Social Responsibility basiert auf einem normativen, moralisch motivierten Verständnis von Corporate Social Responsibility."	"falsch:<br />
Strategic Corporate Social Responsibility folgt einem positivistischen, kausal-analytischen Konzeptionsansatz, bei dem nur empirisch belegte Wirkmechanismen berücksichtigt werden."
