#separator:tab
#html:true
"Frage:<br>
Welche drei Dimensionen sind beim Scoping einer Enterprise Architecture zu beachten?"	"<ul>
<li>Architecture Layer Scope: Betrachtete Architekturebenen</li>
<li>Enterprise Scope: Organisatorischer und geografischer Geltungsbereich</li>
<li>Vertical Scope: Detaillierungsgrad</li>
</ul>"
"wahr oder falsch:<br />
Die Berichterstattung über Enterprise Architecture Management an den CEO führt zu einer deutlich besseren Abstimmung zwischen Business und IT sowie zu einer höheren Akzeptanz innerhalb der Organisation."	wahr
"wahr oder falsch:<br />
Ein Benchmarking ist eine qualitative Analyse, die bei einem Modell durchgeführt wird."	"falsch:<br />
Die Benchmarking ist eine quantitative und wird bei mehreren Modellen durchgeführt."
"wahr oder falsch:<br />
Eine Gap Analyse ist eine quantitative Analyse, die bei einem Modell durchgeführt wird."	"falsch:<br />
Die Gap Analyse ist eine quantitative Analyse, die bei mehreren Modellen durchgeführt wird."
"wahr oder falsch:<br />
Eine Gap Analyse ist eine quantitative Analyse, die bei mehreren Modellen durchgeführt wird."	wahr
"wahr oder falsch:<br />
Eine Dependency Analyse ist eine qualitative Analyse, die bei einem Modell durchgeführt wird."	wahr
"wahr oder falsch:<br />
Eine Dependency Analyse ist eine quantitative Analyse, die bei einem Modell durchgeführt wird."	"falsch:<br />
Die Dependency Analyse ist eine qualitative Analyse."
"wahr oder falsch:<br />
Eine Dependency Analyse ist eine quantitative Analyse, die bei mehreren Modellen durchgeführt wird."	"falsch:<br />
Die Dependency Analyse wird bei einem Modell durchgeführt."
"wahr oder falsch:<br />
Eine Performance Analyse ist eine qualitative Analyse, die bei einem Modell durchgeführt wird."	"falsch:<br />
Die Performance Analyse ist eine quantitative Analyse."
"wahr oder falsch:<br />
Eine Performance Analyse ist eine quantitative Analyse, die bei einem Modell durchgeführt wird."	wahr
"wahr oder falsch:<br />
Eine Performance Analyse ist eine quantitative Analyse, die bei mehreren Modellen durchgeführt wird."	"falsch:<br />
Die Performance Analyse wird bei einem Modell durchgeführt."
"Frage:<br />
Wie unterschiedet sich Governance von Management?"	Bei Governance geht es nicht darum, welche konkreten Entscheidungen getroffen werden - Bei Governance geht es vielmehr darum, systematisch festzulegen, wer welche Art von Entscheidungen trifft (Entscheidungsrecht), wer Einfluss auf eine Entscheidung hat (Mitwirkungsrecht) und wie diese Personen (oder Gruppen) für ihre Rolle zur Rechenschaft gezogen werden.
"Frage:<br />
Welche Eigenschaften besitzt Service-Oriented Architecture?"	"<ul>
<li>Dienste haben unterschiedliche Eigenschaften und Granularität</li>
<li>mehrere Dienste können dieselben Ressourcen einer Organisation nutzen, z. B. eine Datenbank</li>
<li>schichtartig aufgebaut</li>
</ul>"
"{{c1::Service-Oriented Architecture (serviceorientierte Architektur, SOA)}} ist {{c2::der modulare Aufbau von Services durch einen Service-Provider.}}<br>
{{c1::{{c2::<img src=""2023-Bild-Krcmar-Service-Oriented_Architecture.png"" alt=""""><br>
Service-Oriented Architecture}}}}"	
"Frage:<br />
Mit welchem Modellierungselement wird Value in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Value.png"" alt="""">"
"<p>{{c1::Risiken des IT-Outsourcing}} sind:</p>
<ul>
<li>{{c2::Bedenken im Bezug zur IT-Security}}</li>
<li>{{c2::Betrug}}</li>
<li>{{c2::starre Bindung an die Technologie des Outsourcing-Anbieters}}</li>
<li>{{c2::unkontrollierbare Preisgestaltung}}</li>
<li>{{c2::Verlust der Flexibilität in Bezug zu Anforderungen}}</li>
<li>{{c2::Verlust der Entscheidungsmöglichkeiten in Bezug zu Daten und Technologie}}</li>
<li>{{c2::Verlust von IT-Kompetenzen}}</li>
<li>{{c2::versteckte Kosten}}</li>
</ul>"	
{{c1::Eine Decentralized IT/IS Governance}} ist {{c2::ein Governance-Modell für die IT/IS-Governance, in welcher das Decision-Making in vielen IT-Stellen stattfindet}}.	
"Beispiele:<br />
Maßnahmen zur Steigerung der EAM-Akzeptanz bei Mitarbeitenden"	"<ul>
<li>Belohnungssysteme (z. B. Zertifizierungen)</li>
<li>Erfolgsstories und Expertenkommunikation</li>
<li>Gamification &amp; intuitive Tools</li>
<li>Quick Wins</li>
<li>Stakeholder-Analyse</li>
</ul>"
"wahr oder falsch:<br />
Enterprise Architecture Management sollten belohnend sein und Spaß machen."	"wahr:<br>
Dies erhöht die Nutzbarkeit und die Bereitschaft, Enterprise Architecture Management zu nutzen."
"<p>Die Erhöhung der Nutzbarkeit von Enterprise Architecture Management erfolgt durch:</p>
<ol>
<li>{{c1::Stakeholderanalyse}}: {{c1::Stakeholder identifizieren, die in Transformation beteiligt sind, beeinflusst werden oder diese unterstützen}}</li>
<li>{{c1::partizipative Entwicklung: Bestimmte Stakeholder in die Entwicklung von EAM inkludieren}}</li>
<li>{{c1::schnelle Gewinne/Quick Wins realisieren}}</li>
<li>{{c1::Einfluss von Enterprise Architecture Management analysieren und Business Cases herausarbeiten}}</li>
</ol>"	
{{c1::Normativer Einfluss (Normative Influence)}} ist {{c2::der Einfluss, bei dem ein Individuum bestimmte Erwartungen anderer erfüllen oder soziale Anerkennung erlangen möchte}}.	
{{c1::Informativer Einfluss (Informational Influence)}} ist {{c2::der Einfluss, bei dem ein Individuum bestimmte Informationen von anderen als korrekt und verlässlich akzeptiert}}.	
{{c1::Utilitaristischer Wert}} ist {{c2::der instrumentelle Wert, den eine Methode oder ein Produkt für den Nutzer durch Effizienz oder Produktivität bereithält}}.	
{{c1::Materialistischer Wert}} ist {{c2::der materielle Wert, den eine Methode oder ein Produkt für den Nutzer bereithält}}.	
{{c1::Hedonistischer Wert}} ist {{c2::der emotionale oder erlebnisorientierte Wert, den eine Methode oder ein Produkt für den Nutzer bereithält}}.	
"<p>Gründe für die Nutzung von Enterprise Architecture Management sind:</p>
<ul>
<li>{{c1::Einfluss von Kollegen, Vorgesetzen oder Dritten}}: {{c1::Informativer Einfluss oder normativer Einfluss}}</li>
<li>{{c2::organisatorische Merkmale}}: {{c2::Einfacher Zugang, Unterstützung und Training}}</li>
<li>{{c3::Routine und Gewohnheit}}</li>
<li>{{c4::Selbstüberzeugung und Glaube an Enterprise Architecture Management}}</li>
<li>{{c5::Wert}}: {{c5::Hedonistischer Wert, materialistischer Wert oder utilitaristischer Wert}}</li>
</ul>"	
"wahr oder falsch:<br />
Die Einführung von Enterprise Architecture Management kann nicht durch eine Managemententscheidung erreicht werden, sondern hängt von individuellen Entscheidungen ab, die durch verschiedene interne und externe psychologische Faktoren beeinflusst werden."	wahr
"<p>Enterprise Architecture Management Adoption besteht aus mehreren Schritten:</p>
<ol>
<li>{{c1::Unterstützer identifizieren und Enterprise Architecture Management-Ziele definieren}}</li>
<li>{{c2::Ist-Analyse}}</li>
<li>{{c3::Stakeholderanalyse}}</li>
<li>{{c4::Enterprise Architecture Management-Team zusammenstellen}}</li>
<li>{{c5::Architekturprinzipien definieren}}</li>
<li>{{c6::Enterprise Architecture Management-Scope definieren}}</li>
<li>{{c7::Enterprise Architecture Management-Services entwerfen und implementieren}}</li>
<li>{{c8::Änderungsmanagement}}</li>
<li>{{c9::Pilotierung und Bewertung}}</li>
<li>{{c10::Endgültige Einführung, kontinuierliche Verbesserung}}</li>
</ol>"	
"wahr oder falsch:<br />
Die Verbesserung der Datenqualität ist eine Situationen zur Einführung von Enterprise Architecture Management."	wahr
"wahr oder falsch:<br />
Eine Geschäftsmodellveränderungen ist eine Situationen zur Einführung von Enterprise Architecture Management."	wahr
"wahr oder falsch:<br />
Eine Kostenreduktion ist eine Situationen zur Einführung von Enterprise Architecture Management."	wahr
"wahr oder falsch:<br />
Die Standardisierung ist eine Situationen zur Einführung von Enterprise Architecture Management."	wahr
"<p>Risiken des Insourcings sind:</p>
<ul>
<li>{{c1::fehlendes Personal}}</li>
<li>{{c1::höhere Kosten}}</li>
<li>{{c1::langsame Implementierungszeit}}</li>
</ul>"	
"wahr oder falsch:<br />
Ein föderierter Ansatz zur kontinuierlicher Pflege und Aktualisierung der Enterprise Architecture Models ist häufig praktikabler als ein holistischer Ansatz."	wahr
"wahr oder falsch:<br />
Ein holistischer Ansatz zur kontinuierlicher Pflege und Aktualisierung der Enterprise Architecture Models ist häufig praktikabler als ein föderierter Ansatz."	"falsch:<br />
Ein föderierter Ansatz ist häufig praktikabler."
{{c1::Der Architecture Vitality Process}} ist {{c2::ein Enterprise Architecture Governance-Prozess zur kontinuierlicher Pflege und Aktualisierung der Enterprise Architecture}}.	
"<p>{{c1::Architecture Vitality Process}} entsteht durch:</p>
<ul>
<li>{{c2::föderierter Ansatz}}: {{c2::Es werden dezentrale Modelle erstellt, welche in ein übergeordnetes Modell eingebunden werden}}.</li>
<li>{{c2::holistischer Ansatz}}: {{c2::Es wird ein monolithisches Modell erstellt}}.</li>
</ul>"	
{{c1::Der Architecture Review Process}} ist {{c2::ein Enterprise Architecture Governance-Prozess zur Überprüfung von Projekten im Hinblick auf ihre Übereinstimmung mit der Enterprise Architecture sowie ihrer Konformität mit strategischen Vorgaben}}.	
"Frage:<br />
Wie wird im Architecture Compliance Process mit Abweichungen umgegangen?"	Abweichungen von genehmigten Architekturstandards müssen formal beantragt, dokumentiert und durch definierte Gremien geprüft werden. Ziel ist ein kontrollierter, nachvollziehbarer Umgang mit technischen und fachlichen Sonderfällen.
{{c1::Der Architecture Compliance Process}} ist {{c2::ein Enterprise Architecture Governance-Prozess zur Beantragung von Abweichungen von genehmigten Compliance-Komponenten}}.	
Ziel des Architecture Compliance Process ist {{c1::die Sicherstellung eines geregelten Umganges mit Abweichungen}}.	
{{c1::Der Architecture Communication Process}} ist {{c2::ein Enterprise Architecture Governance-Prozess, der sicherstellt, dass alle Ergebnisse aus der Enterprise Architecture innerhalb der Organisation verbreitet werden}}.	
"<p>Nachteile von generellen Modellierungswerkzeugen in der Architektur sind:</p>
<ul>
<li>{{c1::fehlende Funktionen zur Sicherstellung der Entwicklung syntaktisch korrekter Unternehmensarchitekturmodelle}}</li>
<li>{{c1::fehlende Möglichkeiten zur Einbettung von Enterprise Architecture Frameworks}}</li>
<li>{{c1::keine Analysefunktionen}}</li>
<li>{{c1::keine Definition von Architekturprinzipien oder zur Überprüfung der Einhaltung von Architekturprinzipien}}</li>
<li>{{c1::keine Governance-Möglichkeiten}}</li>
<li>{{c1::keine Unterstützung bei der Generierung neuer Ansichten}}</li>
</ul>"	
{{c1::Der Architecture Documentation Process}} ist {{c2::ein systematischer Prozess zur Entwicklung und Pflege der Governance der Enterprise Architecture}}. {{c1::Der Architecture Documentation Process}} besteht aus {{c3::der Beschreibung strukturierter Schritte zur Erstellung, Überprüfung und Aktualisierung architekturrelevanter Informationen}}.	
"Frage:<br />
Welche fünf zentralen EAM-Governance-Prozesse gibt es und welche Aufgaben erfüllen sie?"	"<ol>
<li>Architecture Documentation Process: Systematische Pflege und Dokumentation der Architektur zur Sicherstellung fundierter Entscheidungen</li>
<li>Architecture Review Process: Überprüfung der Architekturentscheidungen hinsichtlich Ausrichtung und Konformität</li>
<li>Architecture Communication Process: Zeitnahe und präzise Kommunikation aller EAM-relevanten Ergebnisse</li>
<li>Architecture Compliance Process: Freigaben aus Unternehmenssicht und Prüfung der Ergebnisse auf Regelkonformität</li>
<li>Architecture Framework Vitality Process: Sicherstellung der Aktualität</li>
</ol>"
{{c1::Der Enterprise Architecture Governance-Prozess}} ist {{c2::ein Prozess zur Identifikation, Management und Auditierung von Informationen in Bezug zum Enterprise Architecture Management und wird durch den Architekturlebenszyklus gebildet}}.	
"<p>{{c1::Der Enterprise Architecture Governance-Prozess}} besteht aus:</p>
<ol>
<li>{{c2::Architecture Documentation Process}}</li>
<li>{{c2::Architecture Review Process}}</li>
<li>{{c2::Architecture Communication Process}}</li>
<li>{{c2::Architecture Compliance Process}}</li>
<li>{{c2::Architecture Vitality Process}}</li>
</ol>"	
"Frage:<br />
Welche Rolle spielt der Architecture Review Board in der EAM-Governance?"	Der ARB bewertet die Einhaltung von Architekturprinzipien, Standards und Richtlinien. Er ist beratend und kontrollierend tätig und stellt die strategische Ausrichtung sicher.
"wahr oder falsch:<br />
Das Architecture Review Board entscheidet, welche Systeme implementiert werden dürfen."	"falsch:<br />
Das Architecture Review Board bewertet und empfiehlt, trifft aber selbst keine operativen Implementierungsentscheidungen. Dies obliegt dem Management oder Projektverantwortlichen."
"wahr oder falsch:<br />
Das Architecture Review Board wird vom Chief Architect geleitet und besteht üblicherweise aus 5-10 Personen."	wahr
{{c1::Ein Architecture Review Board}} ist {{c2::ein Architekturkomitee, welches den Geschäftswert durch die Bewertung der Einhaltung von Architekturprinzipien, Standards, Regeln und Richtlinien sichert und erweitert}}.	
"wahr oder falsch:<br />
Das Enterprise Architecture Council wird vom Chief Architect geleitet und besteht üblicherweise aus 5-10 Personen."	wahr
{{c1::Ein Enterprise Architecture Council}} ist {{c2::ein Architekturkomitee, welches die Umsetzung und Steuerung von Enterprise Architecture Management übernimmt}}.	
"Frage:<br />
Was ist ein Architecture Forum?"	Ein Architecture Forum ist ein kooperatives Gremium für den Austausch über EAM-relevante Projekte.
{{c1::Ein Architecture Forum}} ist {{c2::ein Architekturkomitee, in welchem verschiedene Projekte zusammengeschlossen werden und gemeinsam zusammenarbeiten}}.	
"<p>Arten des Architekturkomitees sind:</p>
<ul>
<li>{{c1::Architecture Forum}}</li>
<li>{{c1::Architecture Review Board}}</li>
<li>{{c1::Enterprise Architecture Council}}<br />
{{c1::<img src=""2025-Bild-Kalla-Arten_des_Architekturkomitees.png"" alt=""""><br />
Arten des Architekturkomitees}}</li>
</ul>"	
"<p>Governance-Rollen bestehen aus:</p>
<ul>
<li>{{c1::Setting}}: {{c1::Festlegung von Standards und Vorgaben}}</li>
<li>{{c2::Vetting}}: {{c2::Einhaltung dieser Standards und Vorgaben}}</li>
</ul>"	
{{c1::Das Centers of Excellence}} ist {{c2::ein Governance-Modell für die IT/IS-Governance, in welcher Governance-Aufgaben auf verschiedene Kompetenzzentren aufgeteilt werden}}.	
{{c1::Ein Governing System}} ist {{c2::ein System, welches Prozesse überwacht und, falls notwendig, in diese eingreift}}.	
{{c1::Das Governance Paradigma}} ist {{c2::ein Paradigma, in welchem ein Governing System ein Target System steuert, um ein Ziel zu erreichen}}. Sowohl das Governing System, als auch das Target System agieren dabei mit {{c3::der Umwelt}}.	
"Frage:<br />
Beschreibe den Zusammenhang zwischen Architekturprinzipien und Governance im Enterprise Architecture Management. Warum ist Governance entscheidend für erfolgreiche Transformation?"	Governance stellt sicher, dass diese Prinzipien eingehalten und bei Abweichungen bewertet werden. Nur durch die konsequente Umsetzung der Prinzipien können Zielarchitekturen konsistent realisiert und Transformationen nachhaltig verankert werden.
"Frage:<br />
Warum ist Governance relevant für Enterprise Architecture Management?"	EAM-Governance ist entscheidend, um klare Verantwortlichkeiten und Entscheidungsrechte zu definieren. Governance sorgt dafür, dass Architekturdaten aktuell bleiben, Leistungen messbar sind und Entscheidungen systematisch und nachvollziehbar getroffen werden. Die richtigen Personen mit den passenden Fähigkeiten treffen fundierte Entscheidungen anstatt eines chaotischen, ineffektiven Flickwerks ohne klare Steuerung.
{{c1::Enterprise Architecture Management Governance}} ist {{c2::die Governance, mit der Enterprise Architectures auf unternehmensweiter Ebene verwaltet und gesteuert werden}}. {{c1::Enterprise Architecture Management Governance}} stellt sicher, dass Entscheidungen so getroffen werden, sodass {{c3::der Wert von EAM erzielt und aufrechterhalten wird}}.	
"Frage:<br />
Welche Kriterien machen eine Änderung relevant für Enterprise Architecture?"	"<ul>
<li>Änderungen an IT-Sicherheitsmerkmalen</li>
<li>Änderung von Schnittstellen</li>
<li>Auswirkungen auf die Business Continuity</li>
<li>Regulatorischer Vorgaben</li>
<li>Veränderung kritischer Enterprise Architecture-Komponenten</li>
</ul>"
"<p>Änderungen der Enterprise Architecture sind relevant, wenn:</p>
<ul>
<li>{{c1::diese mit hohen Risiken verbunden sind}}</li>
<li>{{c1::kritische Enterprise Architecture-Komponenten verändern}}</li>
<li>{{c1::Schnittstellen davon betroffen sind}}</li>
<li>{{c1::volatile regulatorische Richtlinien vorhanden sind}}</li>
<li>{{c1::wichtige IT-Security-Bestandteile verändert werden}}</li>
</ul>"	
"<p>Operatives Management im Enterprise Architecture Management besteht aus:</p>
<ol>
<li>{{c1::Änderungen sammeln}}: {{c1::Antragsteller, Empfänger, Scope}}</li>
<li>{{c1::Änderungen bewerten}}: {{c1::Bewertung der Signifikanz und des Einflusses auf die Enterprise Architecture}}</li>
<li>{{c1::Änderungen umsetzen}}: {{c1::Verantwortlichkeiten und Zeiträume definieren}}</li>
</ol>"	
Strategisches Management kann mit TOGAF angewendet werden, da {{c1::verschiedene Bestandteile des strategischen Managements die TOGAF-Phasen abdecken}}.	
"<p>Die strategische Evaluation im Enterprise Architecture Management besteht aus:</p>
<ol>
<li>{{c1::Evaluation der Architekturentwicklung}}</li>
</ol>"	
"Frage:<br />
Was wird im Rahmen der strategischen Planung im Enterprise Architecture Management gemacht?"	Im Rahmen der strategischen Planung im Enterprise Architecture Management wird die Architekturvision definiert sowie eine Roadmap für die Transformation des Ist-Zustandes zu einem Soll-Zustand geplant. Anhand des Portfolio-Managements werden die Prioritäten für die Umsetzung festgelegt.
"<p>Die strategische Planung im Enterprise Architecture Management besteht aus:</p>
<ol>
<li>{{c1::Entwicklung einer Architekturvision}}</li>
<li>{{c1::Planung der Migration}}</li>
<li>{{c1::Bewertung und Priorisierung des Projektportfolios}}</li>
</ol>"	
"Frage:<br />
Was wird im Rahmen der strategische Formulierung im Enterprise Architecture Management gemacht?"	Im Rahmen der strategische Formulierung im Enterprise Architecture Management sollte der Ist-Zustand der Architektur verstanden werden, um strategische Optionen identifizieren zu können.
"<p>Die strategische Formulierung im Enterprise Architecture Management besteht aus:</p>
<ol>
<li>{{c1::Analyse der Situation}}</li>
<li>{{c1::Ausarbeitung strategischer Optionen}}</li>
</ol>"	
"Frage:<br />
Warum muss Enterprise Architecture Management in das strategische Management integriert werden?"	Unternehmen agieren heute in hochdynamischen Umfeldern. Sie müssen in der Lage sein, Veränderungen zunehmend schneller zu planen und umzusetzen. Strategisches Management liefert den entscheidenden Rahmen, um Wettbewerbsvorteile zu erlangen und dauerhaft zu sichern. EAM unterstützt diesen Prozess, indem es Transparenz über Strukturen, Abhängigkeiten und Entwicklungspfade schafft. Andernfalls würde eine Schwierigkeit entsteht, die organisatorischen Ziele umzusetzen.
"Frage:<br />
Wie nennt man die fehlende Implementierung von Enterprise Architecture Management in die Strategie?"	Diese werden als Elfenbeintürme bezeichnet, denen es an Bewusstsein und Akzeptanz innerhalb der Organisation für Enterprise Architecture Management mangelt.
"wahr oder falsch:<br />
Strategisches Management hängt stark von einer zuverlässigen Informationsgrundlage ab."	wahr
"wahr oder falsch:<br />
Unternehmen, die Enterprise Architecture Management nicht in ihr bestehendes strategisches Management integrieren, profitieren nur begrenzt von ihren Enterprise Architecture Management-Maßnahmen."	wahr
"{{c1::Strategisches Management}} ist {{c2::die Formulierung, Planung, Umsetzung und Evaluation von Strategien in Bezug zu Enterprise Architecture}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Strategisches_Management.png"" alt=""""><br />
Strategisches Management von Plan, Implement, Evaluate und Formulate}}}}"	
"Frage:<br />
Was ist das Ziel von Enterprise Architecture Management als neu entstehende Initiative?"	Kurzfristige Änderungen und Anforderungen umzusetzen.
"Frage:<br />
Was ist die Rolle von Enterprise Architecture Management als neu entstehende Initiative?"	reaktiv als Sicherstellung der Enterprise Architecture und Compliance
"Frage:<br />
Was sind Aufgaben von Enterprise Architecture Management als neu entstehende Initiative?"	"<ul>
<li>Sicherstellung dass kurzfristige Änderungen und Anforderungen den Architekturprinzipien entsprechen und deren Ausrichtung auf die strategischen Leitlinien unterstützen</li>
</ul>"
"Frage:<br />
Wer ist der Initiator von Enterprise Architecture Management als neu entstehende Initiative?"	Organisationseinheiten
"Frage:<br />
Was ist das Ziel von Enterprise Architecture Management als strategische Enterprise Architecture Initiative?"	Die gesamte Qualität und Effektivität einer Enterprise Architecture zu erhöhen.
"Frage:<br />
Was ist die Rolle von Enterprise Architecture Management als strategische Enterprise Architecture Initiative?"	aktiver Treiber bei der strategischen Entwicklung
"Frage:<br />
Was sind Aufgaben von Enterprise Architecture Management als strategische Enterprise Architecture Initiative?"	"<ul>
<li>Initiativen formulieren, planen, umsetzen und bewerten</li>
<li>Initiativen starten</li>
</ul>"
"Frage:<br />
Wer ist der Initiator von Enterprise Architecture Management als strategische Enterprise Architecture Initiative?"	das Enterprise Architecture Management
"Frage:<br />
Was ist das Ziel von Enterprise Architecture Management als Strategic Business and IT Initiative?"	Unternehmensstrategien und Funktionsstrategien zu implementieren
"Frage:<br />
Was ist die Rolle von Enterprise Architecture Management als Strategic Business and IT Initiative?"	unterstützend bei der strategischen Entwicklung
"Frage:<br />
Was sind Aufgaben von Enterprise Architecture Management als Strategic Business and IT Initiative?"	"<ul>
<li>Koordination und aktive Steuerung der durch die verschiedenen strategischen Initiativen hervorgerufenen Veränderung</li>
<li>Unterstützung bei der Formulierung und Planung der strategischen Initiative</li>
</ul>"
"Frage:<br />
Wer ist der Initiator von Enterprise Architecture Management als Strategic Business and IT Initiative?"	das Management
"Frage:<br />
Was sind typische Fragen der Performanz-Analyse?"	"<ul>
<li>Wenn 100 Personen an der Erstattung einer Versicherung arbeiten, wie wirkt sich das auf die zugrunde liegende Datenbank aus?</li>
</ul>"
"wahr oder falsch:<br />
Die Performanz-Analyse kann Top-Down oder Bottom-Up erfolgen."	wahr
{{c1::Eine Performanz-Analyse (Performance Analysis)}} ist {{c2::eine quantitative Analyse über die Nutzung von Services und deren Workload}}.	
"{{c1::Bedell's-Methode}} ist {{c2::eine Methode zur Portfolioanalyse in der Enterprise Architecture zur Berechnung des Portfoliowertes eines Applikationssystems}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Bedell's-Methode.png"" alt=""""><br />
Vereinfachte Darstellung der Bedell's-Methode}}}}"	
"{{c1::Bedell's-Methode}} setzt {{c2::die Effektivität eines Applikationssystems}} und {{c2::die Wichtigkeit im Geschäftsprozess für die Organisation sowie für den IT-Support}} in Vergleich.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Bedell's-Methode.png"" alt=""""><br />
Vereinfachte Darstellung der Bedell's-Methode}}}}"	
"<p>Bedell's-Methode besteht aus drei Fragen:</p>
<ol>
<li>{{c1::Sollte das Unternehmen in Anwendungssysteme/-dienste investieren?}}</li>
<li>{{c2::Auf welche Geschäftsprozesse sollte sich die Investition konzentrieren?}}</li>
<li>{{c3::Welche Anwendungssysteme sollten entwickelt oder verbessert werden?}}</li>
</ol>"	
"Frage:<br />
Was sind typische Fragen der Risikoanalyse?"	"<ul>
<li>Sollte die Organisation in Anwendungssysteme/-dienste investieren?</li>
<li>Welche Anforderungen der Stakeholder müssen bei dieser Veränderung berücksichtigt werden?</li>
</ul>"
{{c1::Eine Portfolioanalyse}} ist {{c2::eine qualitative Analyse über die Erreichung von Organisationsziele durch einzelne Elemente in einem Portfolio}}.	
{{c1::Der Risk Factor}} ist {{c2::ein Faktor der Factor Analysis of Information Risk über Risiken oder Probleme, die verfolgt und beobachtet werden können}}.	
{{c1::Die Loss Event Frequency}} ist {{c2::ein Faktor der Factor Analysis of Information Risk über die Wahrscheinlichkeit, mit der eine Bedrohung innerhalb eines bestimmten Zeitraums zu einem Verlust führt}}.	
{{c1::Das Vulnerability Level}} ist {{c2::ein Faktor der Factor Analysis of Information Risk über das geschätzte Ausmaß der Gefährdung durch eine Bedrohung}}.	
{{c1::Die Factor Analysis of Information Risk}} ist {{c2::ein Framework zur Risikoanalyse}}.	
"Frage:<br />
Erklären den Nutzen einer Gap-Analyse im Enterprise Architecture Management und deren methodisches Vorgehen."	"Eine Gap-Analyse identifiziert Unterschiede zwischen Ist-Architektur und Soll-Architektur. Ziel ist es, notwendige Maßnahmen für die Zielerreichung abzuleiten.<br />
Methodisch erfolgt die Analyse entlang von Architekturdomänen, indem Modelle verglichen, Lücken dokumentiert und daraus Transformationspfade entwickelt werden."
